Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
4887,19900701,20260112,734,48.6656,9.8648,Stötten,Baden-Württemberg
4911,19930302,20260112,351,48.8275,12.5597,Straubing,Bayern
4919,20060717,20260112,7,54.4965,8.8069,Strucklahnungshörn,Schleswig-Holstein
4928,19900701,20260112,314,48.8281,9.2,Stuttgart (Schnarrenberg),Baden-Württemberg
4931,19900701,20260112,371,48.6883,9.2235,Stuttgart-Echterdingen,Baden-Württemberg
4947,20061101,20260112,129,52.2317,10.92,Süpplingen,Niedersachsen
5009,19900602,20040701,37,53.761,12.5574,Teterow,Mecklenburg-Vorpommern
5029,19900701,20260112,387,49.4737,7.0385,Tholey,Saarland
5078,20070823,20260112,2,53.9619,10.8892,Travemünde,Schleswig-Holstein
5100,19900701,20260112,261,49.7479,6.6583,Trier-Petrisberg,Rheinland-Pfalz
5109,19911101,20260112,68,53.5998,13.3039,Trollenhagen,Mecklenburg-Vorpommern
5142,19900602,20260112,1,53.7445,14.0698,Ueckermünde,Mecklenburg-Vorpommern
5155,19900820,20140901,567,48.3837,9.9524,Ulm,Baden-Württemberg
5158,19900621,20260110,159,52.1601,11.1759,Ummendorf,Sachsen-Anhalt
5277,19920731,20090630,349,50.8119,9.128,Wahlen,Hessen
5319,20091001,20260112,576,47.9167,9.7076,Waldsee,Baden-Württemberg
5327,20091217,20260112,404,49.5789,9.3974,Walldürn,Baden-Württemberg
5347,19900701,20260112,236,51.5039,9.1118,Warburg,Nordrhein-Westfalen
5349,19940610,20260112,73,53.5196,12.6654,Waren (Müritz),Mecklenburg-Vorpommern
5371,19900701,20260112,920,50.4973,9.9427,Wasserkuppe,Hessen
5397,19900701,20260112,440,49.6662,12.1844,Weiden,Bayern
5404,20081124,20260112,477,48.4024,11.6946,Weihenstephan-Dürnast,Bayern
5412,20070427,20260112,771,47.6802,8.1964,Weilheim-Bierbronnen,Baden-Württemberg
5419,19961102,20070630,264,50.9751,11.3076,Weimar,Thüringen
5426,19900701,20260112,553,49.3758,8.1212,Weinbiet,Rheinland-Pfalz
5440,19900701,20260112,439,49.0115,10.9308,Weißenburg-Emetzheim,Bayern
5467,19900701,20120921,1832,47.7035,12.0119,Wendelstein,Bayern
5480,19900705,20260112,85,51.5763,7.8879,Werl,Nordrhein-Westfalen
5490,19900602,20260112,233,51.8454,10.7686,Wernigerode,Sachsen-Anhalt
5516,19960613,20260112,3,54.5283,11.0606,Fehmarn,Schleswig-Holstein
5538,20180125,20260112,551,47.8827,11.1576,Wielenbach (Demollstr.),Bayern
5546,19900618,20260112,187,52.1206,12.4586,Wiesenburg,Brandenburg
5564,19900705,19920328,88,51.1167,6.2167,Wildenrath,Nordrhein-Westfalen
5629,19900602,20260112,105,51.8891,12.6446,Wittenberg,Sachsen-Anhalt
5640,19900701,20260110,7,53.5444,7.6625,Wittmundhafen,Niedersachsen
5642,19950928,20010911,72,53.1833,12.5167,Wittstock,Brandenburg
5663,19920316,19960723,118,53.4618,13.6099,Woldegk,Mecklenburg-Vorpommern
5697,19911102,19930329,10,52.6167,14.2333,Wriezen,Brandenburg
5705,19900701,20260112,268,49.7704,9.9576,Würzburg,Bayern
5715,19900702,20260110,49,52.4626,9.4245,Wunstorf,Niedersachsen
5779,19900602,20260112,877,50.7313,13.7516,Zinnwald-Georgenfeld,Sachsen
5792,19900701,20260112,2956,47.421,10.9848,Zugspitze,Bayern
5797,20140922,20260112,349,50.6879,12.4329,Lichtentanne,Sachsen
5800,19900705,20260112,615,49.028,13.2385,Zwiesel,Bayern
5825,20120704,20260112,41,52.6198,12.7867,Berge,Brandenburg
5839,19970719,20241210,0,53.3881,7.2287,Emden,Niedersachsen
5851,20081101,20260112,392,51.0806,8.8769,Frankenberg-Geismar,Hessen
5856,19970206,20260112,476,48.5451,13.3532,Fürstenzell,Bayern
5871,19970702,20260112,497,49.9463,7.2645,Hahn,Rheinland-Pfalz
5877,20090710,20260112,5,54.316,10.8002,Putlos,Schleswig-Holstein
5906,19900701,20260112,98,49.5063,8.5584,Mannheim,Baden-Württemberg
5930,19900701,20260112,1,54.641,10.0238,Schönhagen (Ostseebad),Schleswig-Holstein
6091,20091201,20260112,14,53.7674,7.6721,Spiekeroog (SWN),Niedersachsen
6096,20061017,20260112,416,49.1423,10.7301,Altmühlsee,Bayern
6097,20071016,20260112,4,54.4738,12.5014,Darßer Ort (SWN),Mecklenburg-Vorpommern
6098,20060913,20100501,398,47.8147,9.0237,Stockach-Espasingen,Baden-Württemberg
6099,20060925,20260112,449,47.702,8.7318,Gailingen,Baden-Württemberg
6101,20071016,20260112,51,54.1323,11.6719,Bastorf-Kägsdorf (SWN),Mecklenburg-Vorpommern
6102,20070927,20260112,397,47.5396,9.6843,Lindau (SWN),Bayern
6103,20071010,20260112,923,47.4287,11.2616,Mittenwald/Obb.,Bayern
6106,20071210,20260112,62,53.3311,12.7149,Rechlin,Mecklenburg-Vorpommern
6107,20080620,20260112,703,47.8076,9.1035,Sipplingen (SWN),Baden-Württemberg
6108,20060505,20260112,7,53.7197,9.4192,Ruthenstrom,Niedersachsen
6124,19940604,19960219,14,53.8,7.9,Wangerooge (A),Niedersachsen
6159,20081201,20260112,8,52.9542,7.3197,Dörpen,Niedersachsen
6163,19991004,20260112,27,54.1654,10.3519,Dörnick,Schleswig-Holstein
6184,20040717,20040717,6,53.5333,8.1667,Wilhelmshaven (Flugplatz),Niedersachsen
6189,19930301,19940527,34,53.1333,9.35,Rotenburg (Wümme) (Flugplatz),Niedersachsen
6196,20110519,20260112,611,50.1587,12.0386,Selb-Spielberg,Bayern
6197,20001012,20260112,258,51.8664,9.271,Lügde-Paenbruch,Nordrhein-Westfalen
6211,20070823,20260112,464,47.955,12.1735,Vogtareuth (Kläranlage),Bayern
6238,20061019,20170729,675,47.9946,11.269,Starnberg-Perchting,Bayern
6253,20071001,20260112,31,52.4228,12.5667,Brandenburg/Havel,Brandenburg
6292,20090423,20100725,5,54.6833,6.7833,Nordseeboje 3,Hamburg
6314,20061124,20260112,306,51.0507,13.3003,Nossen,Sachsen
6320,20201104,20260112,560,50.2272,6.7524,Kirchweiler,Rheinland-Pfalz
6329,20201104,20260112,128,49.8559,7.9806,Sprendlingen,Rheinland-Pfalz
6333,20201104,20260112,650,49.7286,7.1289,Hüttgeswasen,Rheinland-Pfalz
6344,20100927,20260112,168,50.394,8.1423,Runkel-Ennerich,Hessen
7244,19910319,20040930,62,53.1424,13.0319,Neuglobsow (HM),Brandenburg
7308,20080827,20180125,541,47.8847,11.154,Wielenbach,Bayern
7325,20110901,20151231,2650,47.4165,10.9795,Schneefernerhaus,Bayern
7340,20080719,20191215,84,50.3713,7.5791,Koblenz (Falckensteinkaserne),Rheinland-Pfalz
7341,20050718,20260112,119,50.09,8.7862,Offenbach-Wetterpark,Hessen
7351,20050908,20260112,115,53.3176,13.4175,Feldberg/Mecklenburg,Mecklenburg-Vorpommern
7367,20071201,20260112,144,51.9643,9.8072,Alfeld,Niedersachsen
7368,20071101,20260112,312,51.0007,10.3621,Eisenach,Thüringen
7369,20071101,20260112,475,49.1623,10.3661,Feuchtwangen-Heilbronn,Bayern
7370,20061211,20260112,499,49.391,12.6838,Waldmünchen,Bayern
7374,20060301,20260112,46,52.0813,6.9409,Ahaus,Nordrhein-Westfalen
7389,20130411,20260112,83,52.7461,13.8427,Heckelberg,Brandenburg
7391,20120201,20260112,443,49.5561,8.9669,Oberzent-Beerfelden-Vogelherd,Hessen
7392,20080101,20260112,304,50.3332,10.4487,Aubstadt,Bayern
7393,20100101,20260112,116,51.4492,14.2533,Hoyerswerda,Sachsen
7394,20060601,20260112,622,50.0315,11.9745,Wunsiedel-Schönbrunn,Bayern
7395,20071201,20260112,351,48.6595,12.5388,Gottfrieding,Bayern
7396,20080501,20260112,740,50.5084,9.2246,Hoherodskopf/Vogelsberg,Hessen
